Proyecto,0G-LockControl-LSM110A
Empresa,0G IoT Solutions (previamente WND México)
URL,https://0giotsolutions.com/
Fecha,2026-06-15
Referencia,GitHub issue #4 - Verificar stock y precios de componentes en LCSC
Nota,"Precios y stock verificados en LCSC (salvo U1 y U4a). U4a/U4b = mismo footprint, poblar solo uno."

Ref,Qty,Tipo de componente,Descripción,MPN,Fabricante,LCSC#,Basic/Ext,Fuente,Precio@100u (USD),Precio@1ku (USD),Stock,Sustituto,Link,Notas
U1,1,Módulo RF transceptor sub-GHz (Sigfox/LoRa),Módulo Sigfox/LoRa SiP,LSM110A (WSLSM110A00),SJI / SeongJi Industrial,—,Extended,GREATECH / Yadom / SJI,10.1,7.94,rollo 500/1000,—,https://www.greatech.de/store/p/seongji-lsm110a-sigfox-lorawan-module,"No en LCSC; hand-load. Precio GREATECH: ≥10u ≈€9.35/u; 500u=€3675 y 1000u=€7350 → €7.35/u (≈$7.94). @100u usa €9.35 (≈$10.10) conservador, tier-100 sin confirmar. Sigfox Partners/Yadom/ThingPark bloquean precio (login). Confirmar MOQ con SeongJi/GREATECH (EXW)."
U2,1,Acelerómetro MEMS 3 ejes,"Acelerómetro digital ±2/4/8/16g, LGA-12",LIS2DW12TR,STMicroelectronics,C189624,Extended,LCSC,0.7727,0.7093,"29,551","LIS2DTW12TR / LIS2DH12TR",https://www.lcsc.com/product-detail/C189624.html,"CORREGIDO: el C400557 del issue es un conector JILN, no el acelerómetro. Sustitutos pin-compatibles (familia LGA-12 2x2) por DT-017: LIS2DTW12TR (mismo motion engine + termometro absoluto +/-0.8 C typ, mejora el byte 7 del payload; verificar WHO_AM_I y registros de temp) y LIS2DH12TR (mas barato, ~2 uA, mapa de registros distinto). Ver docs/seleccion-acelerometro.md."
U3,1,Sensor de efecto Hall (switch omnipolar),"Hall switch omnipolar 1.6µA, SOT-23",DRV5032DUDBZR,Texas Instruments,C882721,Extended,LCSC,0.22,0.1599,385 (bajo),DRV5032FCDBZR (C527532),https://www.lcsc.com/product-detail/C882721.html,"Stock LCSC bajo (385). Reservar carrete (3,000) para producción >1k."
U4a,0,Regulador LDO nanopower 2.5V (config REGULADA - opcional),"LDO 200mA, Iq 25nA, 2.5V, SOT-23-5",TPS7A0225PDBVR,Texas Instruments,—,Extended,Mouser / DigiKey,0.49,0.43,"~3,700 (Mouser)","TPS7A0233PDBVR (C2887324, solo 3.3V)",https://www.digikey.com/en/products/detail/texas-instruments/TPS7A0225PDBVR/12165218,"VENTAJA: riel 2.5V estable aunque la CR2450 caiga en el pulso TX. No en LCSC; hand-load. MPN del issue 'TPS7A0225DBVR' incorrecto (falta la 'P'). Poblar U4a O U4b, no ambos."
U4b,1,Jumper bypass 0Ω (config DIRECTA - default),Resistor 0Ω 0402 (jumper),0402WGF0000TCE,UNI-ROYAL,C17168,Basic,LCSC,0.0012,0.001,masivo,—,https://www.lcsc.com/product-detail/C17168.html,"VENTAJA: máxima vida de batería (sin pérdida de headroom ni Iq del LDO), $0 setup fee. Default si pasa el GATE 2 (#6). Poblar U4a O U4b, no ambos."
BAT1,1,Portapilas / battery holder (electromecánico),"Holder CR2450, SMD",MY-2450-01,MYOUNG,C964845,Extended,LCSC,0.1643,0.1437,"7,590",Keystone (no en LCSC),https://www.lcsc.com/product-detail/C964845.html,Equivalente Keystone no disponible en LCSC; MYOUNG es la opción real.
C1-C10,10,Capacitor cerámico MLCC (desacoplo),MLCC 100nF 0402 X7R 16V,CL05B104KO5NNNC,Samsung,C1525,Basic,LCSC,0.0017,0.0013,masivo,"C131394 (50V X7R, Extended)",https://www.lcsc.com/product-detail/C1525.html,"16V suficiente para riel 3V (buen derating). El issue pedía 25V; si se exige ≥25V usar C131394 (50V, Extended)."
C11,1,Capacitor cerámico MLCC,MLCC 4.7µF 0603 X5R 16V,CL10A475KO8NNNC,Samsung,C19666,Basic,LCSC,0.0115,0.0096,"141,910",—,https://www.lcsc.com/product-detail/C19666.html,Dieléctrico real X5R (no X7R); adecuado para 3V.
C_TX,1,Capacitor de tántalo (bulk / soporte pulso TX),Tántalo 470µF 6.3V CASE-D low-ESR,TAJD477K006RNJ,KYOCERA AVX,C7229,Extended,LCSC,0.8141,0.6731,"8,046",Polímero low-ESR (más caro),https://www.lcsc.com/product-detail/C7229.html,ESR 400mΩ (estándar). Evaluar versión 10V por margen sobre 3V de batería.
R1-R4 (10k),4,Resistor chip película gruesa,Resistor 10kΩ 0402 1%,0402WGF1002TCE,UNI-ROYAL,C25744,Basic,LCSC,0.0013,0.0011,verificar,C60490 (Yageo),https://www.lcsc.com/product-detail/C25744.html,Qty estimada (pull-ups/divisores). Confirmar contra esquemático final (ERC).
R5-R7 (100k),3,Resistor chip película gruesa,Resistor 100kΩ 0402 1%,RC0402FR-07100KL,YAGEO,C60491,Basic,LCSC,0.0008,0.0007,en stock,—,https://www.lcsc.com/product-detail/C60491.html,Qty estimada. Confirmar contra esquemático final (ERC).
R8-R10 (1k),3,Resistor chip película gruesa,Resistor 1kΩ 0402 1%,RC0402FR-071KL,YAGEO,C106235,Basic,LCSC,0.0009,0.0007,8.9M,—,https://www.lcsc.com/product-detail/C106235.html,Qty estimada (serie LED + debug). Confirmar contra esquemático final (ERC).
LED1,1,Diodo emisor de luz (LED),LED verde 0603,YLED0603G,YONGYUTAI,C19273151,Basic,LCSC,0.006,0.005,"100,300",—,https://www.lcsc.com/product-detail/C19273151.html,CORREGIDO: el C72043 del issue está descontinuado (stock=1). Reemplazo verificado.
